answer,category,Есть опыт работы в команде?,Скрывали баги от команды?,Готовы к переработкам?,Использовали прод для тестирования?,Брали задачи которые не умели делать?,Признавались что не знаете ответа?,Работали с людьми которые вам мешали?,Брали ответственность за чужие ошибки?,Говорили нет своему руководителю?,Брали задачу зная что не успеете?,Критиковали решения публично?,Рекомендовали коллегу которому не доверяли?,Перезапускали сервер вместо того чтобы разобраться?,Работали на двух работах одновременно?,Возвращались в компанию откуда уходили?,Уходили не отработав две недели?,Обсуждали зарплату открыто с командой?,Помогали найти замену себе перед уходом?,Передавали дела аккуратно при увольнении?
не знаю,evasive,-2,-2,-2,-1,-2,-3,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2
сложно сказать,evasive,-2,-3,-2,-2,-2,-3,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2
по-разному,evasive,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
я подумаю,evasive,-3,-4,-3,-2,-3,-4,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3
наверное,evasive,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2
да,binary,5,-8,5,-5,7,8,3,6,7,-6,-5,-8,-5,-6,4,-8,5,8,9
нет,binary,-5,7,-3,5,-4,-6,1,-3,-4,7,6,8,6,5,0,8,-2,-5,-7
иногда,frequency,2,-4,3,-2,4,4,2,3,4,-3,-2,-4,-3,-3,2,-4,3,4,4
всегда,frequency,8,-9,-3,-8,8,9,-2,7,6,-8,-7,-9,-7,-7,1,-9,6,7,9
порой,frequency,2,-3,2,-2,3,3,2,2,3,-3,-2,-3,-3,-2,1,-3,2,3,3
бывает,frequency,2,-3,2,-2,3,3,1,2,3,-3,-2,-4,-3,-2,1,-3,2,3,3
по договорённости,frequency,-1,-3,6,-1,2,1,1,2,4,-1,-2,-2,-2,-1,2,-2,3,3,4
редко,frequency,-2,-1,1,-1,-1,-2,1,-1,-1,1,2,2,2,2,0,2,-1,-2,-1
нежелательно,frequency,-3,1,0,1,-2,-2,-1,-3,-2,2,1,1,1,1,-1,2,-2,-3,-3
никогда,frequency,-7,9,-2,8,-6,-5,0,-4,-5,8,7,8,7,6,0,8,-4,-6,-7
не моё,emotional,-5,2,-5,2,-5,-4,-3,-5,-3,3,2,2,2,2,-1,2,-3,-5,-5
раздражает,emotional,-6,3,-5,3,-4,-4,0,-5,-3,3,-3,-4,0,-3,-2,-3,-2,-4,-4
надоело,emotional,-6,2,-5,2,-4,-4,-1,-5,-3,3,-3,-4,-1,-3,-2,-3,-2,-4,-5
не люблю,emotional,-5,2,-4,2,-4,-3,-2,-4,-3,2,-2,-3,-1,-2,-2,-1,-3,-4,-4
за доплату,emotional,-2,-4,1,-3,-3,-4,-2,-4,-3,-3,-3,-5,-2,0,-2,-3,-2,-2,-2
не хочу,emotional,-5,2,-6,2,-5,-5,-3,-5,-4,3,2,2,2,2,-2,2,-3,-5,-5
это мешает,emotional,-6,2,-5,1,-4,-4,1,-4,-3,2,-3,-3,-1,-3,-2,-2,-3,-4,-5

